ID,Assay,Structure,Location,Date,Species,Weigth_in,Grazing
34_9,34,9,Kisite,20/11/2018,Sargassum,33.97,96.58889142
34_9,34,9,Kisite,20/11/2018,Thalassia,1.24,62.55102976
35_1,35,1,Dolphin Point,20/11/2018,Padina,18.93,89.96750298
35_1,35,1,Dolphin Point,20/11/2018,Sargassum,36.6,90.17824374
35_1,35,1,Dolphin Point,20/11/2018,Thalassia,1.2,51.89786641
35_10,35,10,Dolphin Point,20/11/2018,Padina,18.97,79.69727729
35_10,35,10,Dolphin Point,20/11/2018,Sargassum,35.25,87.95110111
35_10,35,10,Dolphin Point,20/11/2018,Thalassia,1.51,58.29796968
35_11,35,11,Dolphin Point,20/11/2018,Padina,18.82,83.84006985
35_11,35,11,Dolphin Point,20/11/2018,Sargassum,38.52,92.26578085
35_11,35,11,Dolphin Point,20/11/2018,Thalassia,1.63,42.6959524
35_2,35,2,Dolphin Point,20/11/2018,Padina,19.15,60.60844061
35_2,35,2,Dolphin Point,20/11/2018,Sargassum,32.82,92.49796985
35_2,35,2,Dolphin Point,20/11/2018,Thalassia,1.46,28.11636326
35_3,35,3,Dolphin Point,20/11/2018,Padina,19.66,83.51724023
35_3,35,3,Dolphin Point,20/11/2018,Sargassum,36.36,83.81579361
35_3,35,3,Dolphin Point,20/11/2018,Thalassia,1.16,54.76288377
35_4,35,4,Dolphin Point,20/11/2018,Padina,17.22,88.97124456
35_4,35,4,Dolphin Point,20/11/2018,Sargassum,44.03,88.06103784
35_4,35,4,Dolphin Point,20/11/2018,Thalassia,1.12,0
35_6,35,6,Dolphin Point,20/11/2018,Padina,17.34,83.15010481
35_6,35,6,Dolphin Point,20/11/2018,Sargassum,45.67,98.19394415
35_6,35,6,Dolphin Point,20/11/2018,Thalassia,0.92,54.36951755
35_7,35,7,Dolphin Point,20/11/2018,Padina,19.49,64.22570529
35_7,35,7,Dolphin Point,20/11/2018,Sargassum,37.42,96.71009314
35_7,35,7,Dolphin Point,20/11/2018,Thalassia,1,75.86147478
35_8,35,8,Dolphin Point,20/11/2018,Padina,24.71,80.86621592
35_8,35,8,Dolphin Point,20/11/2018,Sargassum,31.49,89.7181687
35_8,35,8,Dolphin Point,20/11/2018,Thalassia,1.31,57.53926862
35_9,35,9,Dolphin Point,20/11/2018,Padina,17.61,75.86683743
35_9,35,9,Dolphin Point,20/11/2018,Sargassum,31.5,87.88457855
35_9,35,9,Dolphin Point,20/11/2018,Thalassia,1.49,54.21639512
36_1,36,1,Wasini,22/11/2018,Padina,18.15,78.45229198
36_1,36,1,Wasini,22/11/2018,Sargassum,36.21,46.77400985
36_1,36,1,Wasini,22/11/2018,Thalassia,1.48,54.02912147
36_10,36,10,Wasini,22/11/2018,Padina,18.6,89.21723461
36_10,36,10,Wasini,22/11/2018,Sargassum,39.17,28.25518257
36_10,36,10,Wasini,22/11/2018,Thalassia,1.18,53.15255811
36_11,36,11,Wasini,22/11/2018,Padina,24.16,87.54804825
36_11,36,11,Wasini,22/11/2018,Sargassum,46.24,60.03786164
36_11,36,11,Wasini,22/11/2018,Thalassia,1.79,30.51398982
36_2,36,2,Wasini,22/11/2018,Padina,16.23,81.99360752
36_2,36,2,Wasini,22/11/2018,Sargassum,47.25,78.88439202
